stem,pre_med,pre_n,C1_med,C1_n,C2_med,C2_n,C4_med,C4_n,C5_med,C5_n
ank_0_10,3.5727471516299905,53,2.4838715364003647,68,1.5843056976501,95,1.7416662772158436,88,2.566770341444937,73
ank_0_16,1.7794117572928982,77,0.6702437359315444,86,0.6773001036350076,109,0.7553109118765331,95,0.712215853424182,130
ank_0_30,3.446224904304089,34,4.381498475086188,24,2.894352956400408,29,3.315793747185883,31,2.863291280723975,35
ank_0_41,2.1414429988142,32,1.6967598163281918,42,0.8750950512284347,52,1.4286795733426785,50,1.4043720245480036,34
ank_10_1,1.4076327083073523,74,1.6457642260835692,89,0.7811726070086634,118,1.17017130192675,78,0.6791831164791522,109
ank_11_14,1.8192047515453464,53,2.239596632142698,57,0.7152649351462615,83,1.2437550525129408,66,1.1853128064773122,82
ank_12_21,3.6687100519133344,55,3.5677018507822553,37,3.058271426846021,62,4.099664742028285,41,3.3399806549083575,45
ank_12_28,4.148737253943167,29,3.438875310403888,42,3.0580983432024422,34,2.6792676693852746,24,3.016410049517799,47
ank_12_35,1.8827222694319123,56,1.7391899580101384,67,0.6227135293060756,160,0.9617802744389594,92,0.5079976884561775,131
ank_13_12,1.8296589099999625,83,1.7317437020420123,99,0.9223617279974036,126,1.6333342316402237,109,1.39937828922531,109
ank_13_17,2.40932319308119,48,2.263313054301422,59,1.2155324995312575,56,2.3642916965043588,51,2.119490185984719,69
ank_13_21,2.361124845412062,56,2.483777212320106,50,2.589279822998897,79,2.1136587361394676,59,3.222530638888407,66
ank_13_29,2.4747231628745565,44,2.582373370900295,46,2.1394539625815563,64,2.3925023620418937,46,2.56238570411092,64
ank_13_34,2.6576811136475333,21,2.8914295263938175,21,2.9198175307535563,40,3.156963215140777,38,2.468131259125512,40
ank_13_6,1.8831103007537435,72,1.2417232143636845,94,0.5216899140032704,147,1.0623461593476722,92,0.5847064809818061,130
ank_14_33,3.023045039824054,24,2.003710581571431,36,1.3188885747026708,47,1.251834353957628,41,0.7911016712628426,46
ank_14_9,2.641791696683742,60,2.3234049566205734,62,1.156743860799405,75,1.5975049058460884,81,1.664956583550635,95
ank_15_22,3.388774697360242,47,2.8870593707543284,55,2.077991354709571,103,2.34200442596467,47,1.5949512347491663,85
ank_15_41,3.6136167013673552,30,2.567113916510508,43,2.6288972084376776,41,2.419122192632086,30,2.334605715540843,49
ank_15_6,2.5788618794043954,58,1.4091582322179854,82,0.5764358428481369,140,1.2631348663260147,77,0.6332463994115257,99
ank_16_36,3.8246085668434584,11,4.372758281637301,16,2.7280935852278194,12,3.7251572145781022,30,4.71249403646959,21
ank_16_9,2.458009300731516,38,1.7810359442634869,75,0.771068622469149,98,1.5115713077433401,68,1.5877305000218824,87
ank_17_17,3.2964406701328497,62,2.8926580394427077,32,2.219660909864206,60,2.466008196752517,57,3.096483941789863,44
ank_17_19,2.732016847994027,55,2.8015645440513115,61,2.0889540437944945,77,3.2212266847661453,51,2.150076871187542,64
ank_17_22,4.044052899922436,41,3.069425031321158,48,2.2535005713475083,62,1.6622773340329855,55,2.4980281263497996,83
ank_17_31,2.5965451202702488,61,1.8662745219675316,86,0.5789320997486584,138,1.0041092312147337,89,0.6953042822246901,140
ank_17_32,3.0338922631839655,41,2.741874917785917,27,2.4258619680921254,44,1.3744341712010255,35,1.5681192646300153,53
ank_18_16,3.662567148824515,46,2.113174599810922,46,2.1074979164699545,57,1.9737239505701434,66,1.8435166981887492,82
ank_18_27,2.731841450892978,37,3.3617098462351387,53,1.7371175665782133,62,2.5328857248511514,46,1.9350742906683274,69
ank_18_29,2.108913983042069,56,1.5562874154703077,79,0.9168311806007483,86,1.1927069603789833,78,0.9179651503907823,111
ank_18_37,1.3963166307531871,33,0.9825562165023104,51,0.813990072387978,65,1.002320851087384,64,0.6822374446693374,60
ank_18_39,1.7130964755298188,56,0.5769896624911695,65,0.46325131773496797,82,0.5987855264853565,73,0.4289758521317124,79
ank_18_7,2.5973855611610084,54,1.4306027851998033,70,0.9967263676419779,89,2.236392019851138,80,1.3159598080871124,110
ank_19_15,2.79484842385336,51,1.8147567469209207,68,1.0648307452205343,79,1.5528535271778807,68,1.0074375485344205,97
ank_19_33,4.31472540924909,19,3.849559913319637,25,4.325110513951434,26,3.164685446614973,24,3.290356724512151,22
ank_19_6,2.617815815166602,60,3.4425963075292874,58,2.247831414446068,66,2.2240217245627285,69,2.6439032168457195,73
ank_19_9,2.625465191897572,32,2.4801384378273084,56,1.8260481278626937,66,2.6597501901385647,42,1.0202562776797799,69
ank_1_34,3.473055132023447,26,2.5259785989960863,32,1.2943106817563632,49,2.5213276643421914,39,1.5594817853108316,49
ank_20_10,2.3238447686911368,42,2.1013769948527363,76,0.7151299487677424,115,1.4675608550372494,93,0.5875458981787983,126
ank_20_19,3.339545118262882,43,3.4512361055476974,54,2.2000583076231526,49,2.9439087731983133,55,3.392009611444135,54
ank_20_37,1.0153386685246166,105,0.6880704800189876,91,0.6478680972441538,163,0.5354303968647832,113,0.5745795629304394,157
ank_20_6,2.953198259465808,53,2.4413520541486267,61,2.123499018152137,89,2.1194804146772386,59,1.881084450884667,70
ank_22_10,1.9163009480003148,79,1.3808288008051564,82,0.7594522988038119,107,1.0155596959059887,108,0.7486917147408474,109
ank_22_16,3.183092814088014,51,2.8254576410168437,54,2.908710429581496,57,2.6331526483571155,36,2.4265866775429017,64
ank_22_37,1.8768363310702,39,1.8829778229253589,50,1.011782336441255,68,1.9732673746692497,52,1.3081319945688379,62
ank_23_14,2.28414728193807,66,1.3804600703954497,64,1.742865422485081,67,1.9359232338999957,78,1.905340638130843,86
ank_23_28,1.0840761626184352,66,1.3259821900146764,80,0.6416605325909432,122,0.7946582558947889,67,0.6461362416155125,90
ank_24_0,2.849717206309148,66,1.775387118188914,65,1.254189627575944,99,1.812272660673265,90,1.661268961533776,101
ank_24_12,2.2243788583002155,51,2.3503414820102253,54,1.7735865354224396,71,2.0797087233333382,56,2.1339058877222965,56
ank_24_14,2.8929374480514225,42,1.5782274935020313,64,0.6058821811408108,85,1.084495997887594,91,1.0044173858850343,98
ank_24_3,3.493766352589964,61,3.581193559823049,62,2.997258846522322,47,2.8566053435901377,57,2.913876359729465,49
ank_25_1,2.324888068299498,68,2.209458404089189,105,1.1975469317073175,148,1.373872800763335,93,1.0575176262288428,168
ank_25_14,3.0427482489735964,50,2.7475702489430716,49,1.8587416665894645,79,2.309978467122479,36,2.499206670733272,52
ank_25_16,3.184549785322961,58,2.2401513405413933,48,1.4752552887841741,63,1.961261302641523,54,2.5802785024449686,65
ank_25_37,2.8801973886597163,37,2.684240204250946,49,1.8185152750656932,54,1.3994743576305193,54,1.4202036810134566,72
ank_26_21,2.3878711270619757,50,2.4878341758886786,48,1.5811832641737098,41,1.5294337827636595,51,1.0610729738152873,43
ank_26_22,2.949241989452295,35,2.2904114636977146,44,0.8623610043081866,47,1.3896264150896385,47,1.14651480918124,60
ank_26_29,0.843267860813069,96,0.8436498649140022,148,0.6023097035257263,259,0.7050172047619927,149,0.6215649297749815,217
ank_26_3,1.5236503168188016,86,1.4978218856624799,89,1.1604305179230385,123,1.4149376560363391,94,1.077737011146648,125
ank_26_35,3.7947434073293462,37,4.16245099655548,36,3.1359680338401557,45,3.515117569283208,28,3.320265115670889,43
ank_26_5,2.1644806762396795,73,1.4456725851581833,86,0.7304017868548858,125,1.9986000221344322,100,0.8013436636890587,128
ank_27_14,3.9589737860704632,58,3.4431131635640573,57,3.196607138464519,55,3.187979679377176,49,3.461817429744197,67
ank_27_40,3.164839753789221,38,3.5476314372704008,49,3.188407347639702,46,2.853520241428709,55,2.7385634510020562,55
ank_28_27,2.8721229839741707,40,1.1935541062504536,38,1.5332484613839967,63,1.6245451026168238,56,0.9795090300578961,70
ank_28_37,1.2579217692025366,89,1.1248069680278125,96,0.6288067994061546,168,1.2485217996484048,123,0.7658980894918876,129
ank_28_38,1.5318626584435702,47,1.1879340003350902,59,2.234460882496638,62,1.1949633155949084,58,2.326313070830088,61
ank_28_9,3.1075607318622716,54,3.5433027683319867,71,3.4726848116623326,45,3.2672016310454364,49,2.9766548405375683,64
ank_29_0,1.835207884054358,69,1.8175695060347539,94,1.2382012896634103,70,1.3221661513581846,74,1.1577135062188735,101
ank_29_11,3.9944975115326615,42,3.4048462010372686,48,3.0074598788477296,59,2.6101253840352427,46,3.1213668972864053,71
ank_29_21,2.7096024964517307,37,1.6747931696922853,45,1.4688067265948523,59,2.1380876825518755,53,1.4219611675557848,53
ank_29_24,1.8262782035956349,77,1.2838137750283112,109,0.7302871264858449,153,1.1127103655379498,108,0.7769541657481218,167
ank_29_26,3.720947211507616,42,1.5638630422768356,61,1.0151387073516076,99,1.182042569397724,53,1.2743691139919537,94
ank_2_12,1.978966927870006,77,1.7947146943038308,85,1.27212097920363,93,1.93245541710129,73,1.6446483574761999,97
ank_2_23,2.769826729071904,41,2.126310380070866,36,0.950938442623311,68,1.311757939599676,35,0.8166424767202672,51
ank_30_30,1.2229625608541594,84,0.8146094766947549,127,0.47019617670166525,173,0.7209049945928989,113,0.5131711223474262,118
ank_30_7,2.143560212861101,85,1.4303049872334257,97,0.7690334598322861,115,1.0732129927060257,108,0.6008500564242312,102
ank_31_32,1.2935808705680123,110,0.6970798957503879,140,0.5285219919028297,225,0.8890637347012821,137,0.5995963824958747,247
ank_31_7,1.5562532140569327,106,1.0343571972382395,132,0.4481934705258153,155,0.9308106136049792,120,0.6779179997886532,167
ank_32_12,3.526263112122079,43,3.262739275893305,62,3.2008539338149737,57,2.7643004323434095,59,2.6481753706793487,52
ank_32_21,2.578338881427557,56,1.4636359799805132,69,0.733126788114179,90,1.8745572043800607,86,0.979249998935614,99
ank_32_37,1.1410843858849529,109,0.8085016160117693,148,0.6320781364312431,252,0.7303101272778846,179,0.6562219908454361,224
ank_33_25,0.7384506999607716,122,0.6399272116678134,147,0.5329372464730556,245,0.8097171174064572,179,0.5756969271945835,258
ank_33_3,1.2171221982622071,102,1.3822104942174487,133,0.7528945390526685,195,1.2416217246693384,133,0.8753879025795036,167
ank_33_34,1.0620638328956362,135,0.6905023060434152,186,0.4913645939557124,331,0.8130761809239297,230,0.5646310194163731,302
ank_33_36,0.94441882722684,87,0.7265327129319571,119,0.5285569549702136,200,0.874554736025367,138,0.6260363284683969,180
ank_34_11,2.1287737687110035,93,1.6992369945519492,122,0.5132285866473699,159,1.4753548482921532,84,0.6942439416553986,136
ank_34_15,3.247861950784367,68,2.585138789939732,66,1.4064163232328504,65,2.710282961435187,63,1.5374844134717165,72
ank_34_21,2.0619582677506365,45,1.3164666163589336,57,0.8345665906921677,86,1.5460287261043826,53,0.858816266282831,59
ank_34_30,0.9276991144080392,121,0.6820250233499873,140,0.6018510505257082,235,0.7873716685636927,162,0.5817372038004781,212
ank_35_11,1.3642746469371168,122,1.3073544667187078,128,0.5406919915389319,166,0.9806556514993766,113,0.881936437782038,157
ank_35_28,1.107907097753739,163,0.866029741212187,165,0.5971108548909471,302,0.8635128207624108,184,0.6835042966314191,240
ank_35_39,2.095562543136553,38,1.4220906917215073,55,1.0636203228219765,67,1.9864564052087892,44,1.179875290547315,80
ank_35_7,2.025982801213879,58,1.2150051929498789,72,0.4972128872576631,93,1.4722349507002646,73,1.0973629146594575,105
ank_36_40,4.06478319959864,38,2.960423162208942,40,3.2135206867036814,53,2.728389339436883,54,3.8037978226449902,53
ank_38_19,4.571640519758185,27,3.5256482278210015,26,3.0094715942196277,36,3.2161674351327916,41,2.4734115758943584,39
ank_38_22,1.0934926310796658,93,0.7719524263832865,101,0.49274809305884454,178,0.8316116633781001,121,0.6397361168081122,157
ank_38_24,3.289505946454829,25,1.2329269946595298,31,0.884034027220125,53,1.3723324503504641,58,1.013905310676907,62
ank_38_27,2.1426518976101363,46,1.9457075109878152,65,1.2218737592427584,72,1.5076986086698496,71,1.3763962934964287,60
ank_38_40,4.572350961205214,36,3.294184346616235,38,2.484860253859166,45,2.075706375355219,49,1.9029196408237317,67
ank_38_9,1.0070154102404998,76,0.9118892736536136,112,0.5944577984847326,128,0.9338269366676109,99,0.6824876691911326,138
ank_39_1,3.857704303971118,43,2.7871351857772066,38,3.0906829716443323,51,3.0556721339695705,42,3.0290846641858526,39
