family,seed,e1,e2,e5,e10,e20
LPIPS,45,0.3008,0.2433,0.4931,0.5564,0.6153
LPIPS,46,0.2187,0.2447,0.4254,0.5546,0.6462
LPIPS,47,0.2914,0.3144,0.5216,0.5513,0.6162
LPIPS,48,0.2904,0.2612,0.4725,0.4096,0.5942
LPIPS,49,0.2748,0.2584,0.4955,0.5413,0.6054
LPIPS,50,0.1942,0.2253,0.5858,0.5771,0.5775
L1,45,0.5813,0.4793,0.4463,0.4489,0.6749
L1,46,0.4096,0.3894,0.4022,0.6067,0.5868
L1,47,0.5083,0.4400,0.5318,0.6452,0.7010
L1,48,0.5136,0.5631,0.4964,0.5349,0.7544
L1,49,0.5169,0.4350,0.3183,0.5798,0.7024
L1,50,0.5981,0.5293,0.3409,0.6351,0.6444
