stem,render_med,render_n
ank_0_10,1.1814783845263188,15
ank_0_16,0.4557217667254011,77
ank_0_30,3.117949053306227,3
ank_0_41,0.6213848063361272,37
ank_10_1,0.5631484516590158,65
ank_11_14,0.44318585575749336,31
ank_12_21,0.792421660724677,2
ank_12_28,0.926921376315738,2
ank_12_35,0.4339851141563996,244
ank_13_12,0.7203827871241195,29
ank_13_17,0.5704967969335881,23
ank_13_21,0.5295491105576359,14
ank_13_29,0.4817088000080318,27
ank_13_34,0.33180043631458533,9
ank_13_6,0.759263940694732,83
ank_14_33,0.6504973088461904,37
ank_14_9,0.6004641098004516,30
ank_15_22,0.8546779911582933,14
ank_15_41,0.3908770996007473,13
ank_15_6,0.5529922509664364,82
ank_16_36,3.7260080210084228,2
ank_16_9,0.539079172576978,63
ank_17_17,4.245316236771215,2
ank_17_19,0.537710970299488,14
ank_17_22,1.1973888972724667,11
ank_17_31,0.4258168588140934,159
ank_17_32,0.5304985104401764,15
ank_18_16,0.7675510842327051,18
ank_18_27,0.5113919481332878,9
ank_18_29,0.6443319779194089,41
ank_18_37,0.571191546575048,54
ank_18_39,0.3174118444724938,75
ank_18_7,0.5146296597725242,51
ank_19_15,0.756396625673221,37
ank_19_33,0.6670017183381365,5
ank_19_6,0.5765075403164663,7
ank_19_9,0.3974857381630053,30
ank_1_34,0.5829039087663397,19
ank_20_10,0.34718782007329707,148
ank_20_19,0.9477611803027067,7
ank_20_37,0.4766979176574318,203
ank_20_6,0.9044725241316169,17
ank_22_10,0.4101325419934044,71
ank_22_16,0.7227922572013645,14
ank_22_37,0.6852005280570583,48
ank_23_14,0.6637495156994593,10
ank_23_28,0.5142359192853899,85
ank_24_0,0.8909203142411055,35
ank_24_12,0.9906803817989356,10
ank_24_14,0.529688497356635,67
ank_24_3,,0
ank_25_1,0.6523257609007227,90
ank_25_14,0.4615232032580368,17
ank_25_16,0.48811736433769487,10
ank_25_37,0.9390353260108003,35
ank_26_21,0.5340030044288504,18
ank_26_22,0.7344818545744155,32
ank_26_29,0.5498880777249435,306
ank_26_3,0.6722510240056073,35
ank_26_35,0.7000367490000325,5
ank_26_5,0.5341050183344871,80
ank_27_14,,0
ank_27_40,0.6039929216035774,9
ank_28_27,0.73337596457395,24
ank_28_37,0.7561060724485569,144
ank_28_38,0.3818259286837943,25
ank_28_9,6.358577118395113,2
ank_29_0,0.7017557644974428,41
ank_29_11,,0
ank_29_21,0.5306897872080444,11
ank_29_24,0.5205087931163803,208
ank_29_26,0.5325932262916473,71
ank_2_12,0.5441325556800594,17
ank_2_23,0.5156455006857118,45
ank_30_30,0.4542260753209212,184
ank_30_7,0.5902635439397779,81
ank_31_32,0.49642315925944597,166
ank_31_7,0.3559991127224553,106
ank_32_12,2.3803689016581653,3
ank_32_21,0.49869232333970304,47
ank_32_37,0.7667304109477688,232
ank_33_25,0.5497692178949102,249
ank_33_3,0.4374038636367952,135
ank_33_34,0.5341993353456548,297
ank_33_36,0.590010491163684,183
ank_34_11,0.43066359062042836,92
ank_34_15,0.3863743316302992,31
ank_34_21,0.6572548380395535,56
ank_34_30,0.7641708766555668,246
ank_35_11,0.35253387367587763,103
ank_35_28,0.9593817621907739,324
ank_35_39,0.5402628883304534,34
ank_35_7,0.7158519823654681,43
ank_36_40,0.8510031323952074,5
ank_38_19,1.9937151343317219,4
ank_38_22,0.44516339739424104,130
ank_38_24,0.4721706615434192,27
ank_38_27,0.660982267580936,36
ank_38_40,0.7165848800382236,15
ank_38_9,0.6131713319534065,89
ank_39_1,0.07073619520959337,3
ank_3_13,0.6679906849648041,29
ank_3_25,0.7907988074559115,9
ank_3_29,,0
ank_3_34,0.5182000521513275,114
ank_3_39,1.1749309529450271,22
ank_3_9,0.26206050057569263,29
ank_40_19,0.5036854023939399,88
ank_40_2,0.4462448077648741,8
ank_40_40,1.0039994092255062,9
ank_41_0,0.5002401701066328,15
ank_41_1,0.6443497994226359,6
ank_41_19,,0
ank_41_40,,0
ank_4_23,1.442747025829979,19
ank_4_41,0.6254830897120411,37
ank_5_12,0.45338374457559916,117
ank_5_40,,0
ank_5_5,0.5883688429883986,62
ank_6_10,0.48416428179944376,17
ank_6_38,1.5140628495281145,8
ank_7_36,3.8839912660888207,5
ank_7_8,0.6281762914861633,13
ank_8_19,1.1847947017582148,8
ank_8_22,0.6416528034785871,38
ank_8_31,0.8970976072628962,17
ank_8_41,0.46623085968722794,141
ank_9_1,0.5826032086228401,20
ank_9_24,0.4259656249672453,40
ank_9_25,0.34961517444270773,43
