site,stem,gray_frac,urban
ankara,ank_0_10,0.03287,0
ankara,ank_0_16,0.01639,0
ankara,ank_0_30,0.00241,0
ankara,ank_0_41,0.01132,0
ankara,ank_10_1,0.00719,0
ankara,ank_11_14,0.00697,0
ankara,ank_12_21,0.00734,0
ankara,ank_12_28,0.00526,0
ankara,ank_12_35,0.01276,0
ankara,ank_13_12,0.00209,0
ankara,ank_13_17,0.02502,0
ankara,ank_13_21,0.00424,0
ankara,ank_13_29,0.00369,0
ankara,ank_13_34,0.01222,0
ankara,ank_13_6,0.01086,0
ankara,ank_14_33,0.02104,0
ankara,ank_14_9,0.01944,0
ankara,ank_15_22,0.00183,0
ankara,ank_15_41,0.0,0
ankara,ank_15_6,0.01268,0
ankara,ank_16_36,0.00439,0
ankara,ank_16_9,0.01741,0
ankara,ank_17_17,0.00163,0
ankara,ank_17_19,0.01086,0
ankara,ank_17_22,0.02122,0
ankara,ank_17_31,0.01291,0
ankara,ank_17_32,0.00768,0
ankara,ank_18_16,0.0,0
ankara,ank_18_27,0.01259,0
ankara,ank_18_29,0.01457,0
ankara,ank_18_37,0.17116,1
ankara,ank_18_39,0.0419,0
ankara,ank_18_7,0.02083,0
ankara,ank_19_15,0.01653,0
ankara,ank_19_33,0.00229,0
ankara,ank_19_6,0.02286,0
ankara,ank_19_9,0.01385,0
ankara,ank_1_34,0.02116,0
ankara,ank_20_10,0.00977,0
ankara,ank_20_19,0.00562,0
ankara,ank_20_37,0.20367,1
ankara,ank_20_6,0.02007,0
ankara,ank_22_10,0.01288,0
ankara,ank_22_16,0.01163,0
ankara,ank_22_37,0.01582,0
ankara,ank_23_14,0.00938,0
ankara,ank_23_28,0.23572,1
ankara,ank_24_0,0.00119,0
ankara,ank_24_12,0.00787,0
ankara,ank_24_14,0.0103,0
ankara,ank_24_3,0.0,0
ankara,ank_25_1,0.00812,0
ankara,ank_25_14,0.00198,0
ankara,ank_25_16,0.00191,0
ankara,ank_25_37,0.07883,1
ankara,ank_26_21,0.02597,0
ankara,ank_26_22,0.05072,1
ankara,ank_26_29,0.26988,1
ankara,ank_26_3,0.00542,0
