name,lon,lat,coastal,urban,region
istanbul_urban,28.98,41.02,1,1,Marmara
izmir_urban,27.14,38.42,1,1,Aegean
antalya_urban,30.71,36.89,1,1,Mediterranean
samsun_urban,36.33,41.29,1,1,BlackSea
trabzon_urban,39.72,41.0,1,1,BlackSea
mersin_urban,34.64,36.8,1,1,Mediterranean
ankara_urban,32.86,39.93,0,1,CentralAnatolia
konya_urban,32.48,37.87,0,1,CentralAnatolia
kayseri_urban,35.48,38.73,0,1,CentralAnatolia
gaziantep_urban,37.38,37.07,0,1,SoutheastAnatolia
diyarbakir_urban,40.23,37.91,0,1,SoutheastAnatolia
erzurum_urban,41.27,39.9,0,1,EastAnatolia
bodrum_rural,27.32,37.1,1,0,Aegean
finike_rural,30.15,36.31,1,0,Mediterranean
sinop_rural,34.98,41.95,1,0,BlackSea
ordu_rural,37.85,40.95,1,0,BlackSea
saros_rural,26.7,40.55,1,0,Marmara
datca_rural,27.6,36.72,1,0,Aegean
tuzgolu_rural,33.4,38.75,0,0,CentralAnatolia
cappadocia_rural,34.8,38.62,0,0,CentralAnatolia
karapinar_rural,33.55,37.72,0,0,CentralAnatolia
van_rural,43.35,38.55,0,0,EastAnatolia
sanliurfa_rural,39.1,37.3,0,0,SoutheastAnatolia
kars_rural,42.9,40.4,0,0,EastAnatolia
